1,533345358.00 ,The Dark Knight,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Comic Book Adaptation,IMAX (Feature-length),Superhero,$185 million
2,318412101.00 ,Iron Man,Jon Favreau,Robert Downey Jr.,Terrence Howard,Gwyneth Paltrow,Comic Book Adaptation,Superhero,Superhero - Origin,$140 million
3,317101119.00 ,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Harrison Ford,Cate Blanchett,Karen Allen,Adventure - Period,Treasure Hunt,N/A,$185 million
4,227946274.00 ,Hancock,Peter Berg,Will Smith,Charlize Theron,Jason Bateman,Superhero,N/A,N/A,$150 million
5,223808164.00 ,WALL-E,Andrew Stanton,Fred Willard* (Voice),Jeff Garlin* (Voice),Sigourney Weaver* (Voice),Sci-Fi - Adventure,Animation,Animation - Computer,$180 million
6,215434591.00 ,Kung Fu Panda,N/A,Jack Black (Voice),Dustin Hoffman (Voice),Angelina Jolie (Voice),Animation,Animation - Computer,IMAX (Feature-length),$130 million
7,192769854.00 ,Twilight,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,Romantic Fantasy,Teen Romance,Vampire,$37 million
8,180010950.00 ,Madagascar: Escape 2 Africa,Eric Darnell,Ben Stiller (Voice),Chris Rock (Voice),David Schwimmer (Voice),Animation,Animation - Computer,IMAX (Feature-length),$150 million
9,168368427.00 ,Quantum of Solace,Marc Forster,Mathieu Amalric,Daniel Craig,Olga Kurylenko,Revenge,Spy,N/A,$200 million
10,154529439.00 ,Dr. Seuss' Horton Hears a Who!,Jimmy Hayward,Joey King* (Voice),Jim Carrey (Voice),Steve Carell (Voice),Animation,Animation - Computer,Family - Children's Book Adaptation,$85 million
11,152647258.00 ,Sex and the City,Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Romantic Comedy,TV Adaptation (Live Action),N/A,$65 million
12,148095302.00 ,Gran Torino,Clint Eastwood,Clint Eastwood,N/A,N/A,N/A,N/A,N/A,$33 million
13,144130063.00 ,Mamma Mia!,N/A,Meryl Streep,Pierce Brosnan,Colin Firth,Mother,Musical,Wedding,$52 million
14,143153751.00 ,Marley and Me,David Frankel,Jennifer Aniston,Owen Wilson,N/A,Dog,News/Broadcasting,N/A,N/A
15,141621490.00 ,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Warwick Davis,Peter Dinklage,Ben Barnes,Christian,Family - Children's Book Adaptation,Fantasy - Live Action,$225 million
16,141319928.00 ,Slumdog Millionaire,Danny Boyle,Anil Kapoor,Irrfan Khan,Dev Patel,N/A,N/A,N/A,$15 million
17,134806913.00 ,The Incredible Hulk,Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,Sci-Fi Chase,CGI Star,Comic Book Adaptation,$150 million
18,134508551.00 ,Wanted,Timur Bekmambetov,Morgan Freeman,James McAvoy,Angelina Jolie,Comic Book Adaptation,Hitman / Assassin,Superhero,$75 million
19,130319208.00 ,Get Smart,Peter Segal,Steve Carell,Anne Hathaway,Dwayne Johnson,Comedy - Bumbling,Comedy - Spy,Spy,$80 million
20,127509326.00 ,The Curious Case of Benjamin Button,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Travelogue - New Orleans,N/A,N/A,$150 million
21,120146040.00 ,Four Christmases,Seth Gordon,Reese Witherspoon,Vince Vaughn,Robert Duvall,Christmas,N/A,N/A,$80 million
22,114053579.00 ,Bolt,Chris Williams,John Travolta (Voice),Miley Cyrus (Voice),Susie Essman (Voice),3D,Animation,Animation - Computer,$150 million
23,110515313.00 ,Tropic Thunder,Ben Stiller,Ben Stiller,Jack Black,Robert Downey,Hollywood / Movies,N/A,N/A,$92 million
24,110101975.00 ,Bedtime Stories,Adam Shankman,Adam Sandler,Keri Russell,Guy Pearce,Comedy - What If?,N/A,N/A,$80 million
25,102491776.00 ,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Brendan Fraser,Jet Li,Maria Bello,Adventure - Period,Remake - Sequel to a Remake,N/A,$145 million
26,101704370.00 ,Journey to the Center of the Earth,N/A,Brendan Fraser,Josh Hutcherson,N/A,3D,N/A,N/A,$60 million
27,101440743.00 ,Eagle Eye,D.J. Caruso,Shia LaBeouf,Michelle Monaghan,Rosario Dawson,IMAX (Feature-length),Man vs. Machine,Thriller - On the Run,$80 million
28,100468793.00 ,Step Brothers,Adam McKay,Will Ferrell,John C. Reilly,Mary Steenburgen,Comedy - Arrested Development,N/A,N/A,$65 million
29,100018837.00 ,You Don't Mess with the Zohan,Dennis Dugan,Adam Sandler,John Turturro,Emmanuelle Chriqui,N/A,N/A,N/A,$90 million
30,97690976.00 ,Yes Man,Peyton Reed,Jim Carrey,Bradley Cooper,Zooey Deschanel,N/A,N/A,N/A,$70 million
